,start_time,end_time,start_soc,end_soc,ev_id,station_type,station_power
30,2023-01-05 18:30:28.095977,2023-01-05 19:23:26.069449,0.9633310753276354,0.9963331075327635,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
31,2023-01-06 18:37:28.268422,2023-01-06 19:29:20.337374,0.9640915120911682,0.9964091512091168,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
32,2023-01-01 18:41:17.037226,2023-01-01 20:09:12.839695,0.9441385620915033,0.9944138562091503,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
33,2023-01-02 18:35:28.557975,2023-01-02 19:42:37.125876,0.9573445751633988,0.9957344575163398,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
34,2023-01-03 18:31:27.763776,2023-01-03 19:36:50.620566,0.9584638692810457,0.9958463869281046,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
35,2023-01-04 18:40:37.476425,2023-01-04 19:47:08.527536,0.957741811764706,0.9957741811764707,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
36,2023-01-05 18:36:27.613405,2023-01-05 19:42:03.014812,0.9583310439215686,0.9958331043921569,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
37,2023-01-06 18:34:35.815628,2023-01-06 19:41:08.121201,0.9577285292287583,0.9957728529228759,938f52be04630e0cb449148a6d07093c,Residential Slow (3.6 kW),3.6
38,2023-01-01 19:45:03.897582,2023-01-01 21:22:13.337582,0.4878105263157895,0.923296842105263,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
39,2023-01-01 21:50:07.946621,2023-01-01 22:12:10.730621,0.923296842105263,0.982594947368421,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
40,2023-01-01 22:12:10.730621,2023-01-01 22:17:11.363348,0.982594947368421,0.9982594947368421,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
41,2023-01-02 20:06:06.549995,2023-01-02 23:27:47.885995,0.29939633684210526,0.9299396336842105,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
42,2023-01-03 20:12:28.252526,2023-01-03 23:52:46.386126,0.23473963368421047,0.923473963368421,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
43,2023-01-04 20:07:07.442300,2023-01-04 23:45:31.437478,0.2413476475789475,0.9241347647578948,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
44,2023-01-05 20:00:50.447247,2023-01-05 21:38:59.663035,0.5585347647578949,0.9225103185810527,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
45,2023-01-05 21:48:14.447944,2023-01-05 22:02:07.849523,0.9225103185810527,0.9890341897528421,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
46,2023-01-05 22:02:07.849523,2023-01-05 22:05:17.258973,0.9890341897528421,0.9989034189752842,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
47,2023-01-06 20:15:50.862405,2023-01-06 23:43:07.257895,0.27999815581738946,0.927999815581739,e55ef27688137f7c33879909f4f41b78,Residential Semi-fast (22 kW),22.0
